,value
raw_input_rows,3207215
route_unresolved_rows,30968
route_excluded_text_rows,1309
route_column_disagreement_route_vhist_corrected_route_rows,0
route_column_disagreement_route_vhist_raw_route_rows,67563
input_rows,3174938
analysis_rows,3168705
dropped_duplicate_fare_event_rows,6230
dropped_empty_ttp_rows,3
dropped_excluded_text_rows_surviving_route_cleaning,0
dropfile_exception_rows_kept,113653
fare_record_missing_description_rows_kept,184176
apc_only_missing_fare_description_rows_kept,594977
missing_event_time_rows,0
missing_route_rows,0
missing_stop_id_rows,485026
route_15min_panel_rows,234106
route_stop_15min_panel_rows,833704
ride_events_analysis_ready_rows,2687034
treated_route_stop_cells,121
control_route_stop_cells,58
