route_clean,route_group_primary,boards,rows
30,treated_high_cornell_route,1115737,1115737
81,treated_high_cornell_route,377386,377386
10,exclude_or_route_stop_only,252412,252412
32,treated_high_cornell_route,223668,223668
90,exclude_or_route_stop_only,149104,149104
82,treated_high_cornell_route,144525,144525
51,treated_high_cornell_route,139789,139789
11,control_low_cornell_route,134056,134056
15,exclude_or_route_stop_only,97864,97864
14,control_low_cornell_route,81470,81470
43,exclude_or_route_stop_only,72646,72646
92,exclude_or_route_stop_only,70866,70866
37,treated_sensitivity_route,46241,46241
21,exclude_or_route_stop_only,42327,42327
31,treated_sensitivity_route,35579,35579
67,exclude_or_route_stop_only,29289,29289
13,control_sensitivity_route,27058,27058
17,exclude_or_route_stop_only,24733,24733
52,treated_sensitivity_route,22899,22899
40,exclude_or_route_stop_only,18722,18722
14S,control_sensitivity_route,15599,15599
36,exclude_or_route_stop_only,12942,12942
65,exclude_or_route_stop_only,12777,12777
20,exclude_or_route_stop_only,12096,12096
22,exclude_or_route_stop_only,4780,4780
77,exclude_or_route_stop_only,4140,4140
