direction_vhist,rows
0.0,25162
2.0,10948
4.0,4788
6.0,4799
8.0,5442
10.0,3948
12.0,11069
14.0,4723
16.0,5475
18.0,3661
20.0,4486
22.0,3080
24.0,2206
26.0,1863
28.0,1130
30.0,1300
32.0,2458
34.0,4413
36.0,6656
38.0,9823
40.0,6751
42.0,3688
44.0,3040
46.0,2905
48.0,1331
50.0,802
52.0,1502
54.0,1936
56.0,3218
58.0,4598
60.0,2296
62.0,3317
64.0,9006
66.0,16239
68.0,6085
70.0,8045
72.0,13423
74.0,10686
76.0,6351
78.0,6655
80.0,11700
82.0,21336
84.0,62971
86.0,206201
88.0,153413
90.0,95931
92.0,56321
94.0,25118
96.0,10493
98.0,7306
100.0,9568
102.0,8761
104.0,7150
106.0,4734
108.0,3237
110.0,2179
112.0,1769
114.0,1925
116.0,1045
118.0,1239
120.0,2386
122.0,2612
124.0,2670
126.0,4805
128.0,11608
130.0,21928
132.0,12830
134.0,3014
136.0,1609
138.0,1283
140.0,1221
142.0,2679
144.0,3106
146.0,6436
148.0,14001
150.0,5699
152.0,4939
154.0,11943
156.0,29665
158.0,18680
160.0,14874
162.0,26268
164.0,4953
166.0,14458
168.0,7284
170.0,5097
172.0,7381
174.0,17283
176.0,95274
178.0,111175
180.0,28573
182.0,14710
184.0,6770
186.0,3463
188.0,2467
190.0,5074
192.0,11668
194.0,11420
196.0,7345
198.0,4075
200.0,1548
202.0,736
204.0,547
206.0,511
208.0,629
210.0,619
212.0,2647
214.0,2052
216.0,931
218.0,1493
220.0,20211
222.0,25837
224.0,25629
226.0,7670
228.0,4851
230.0,3933
232.0,3166
234.0,2983
236.0,3802
238.0,4474
240.0,4916
242.0,7152
244.0,5490
246.0,6867
248.0,7796
250.0,9272
252.0,10340
254.0,6890
256.0,13372
258.0,24394
260.0,15391
262.0,24386
264.0,51724
266.0,74568
268.0,149649
270.0,132134
272.0,21268
274.0,13658
276.0,49912
278.0,10487
280.0,3654
282.0,3455
284.0,5101
286.0,4139
288.0,2238
290.0,2537
292.0,3031
294.0,2164
296.0,1272
298.0,1170
300.0,876
302.0,824
304.0,1341
306.0,3118
308.0,4246
310.0,1782
312.0,6490
314.0,2756
316.0,2819
318.0,2662
320.0,2365
322.0,4400
324.0,2439
326.0,955
328.0,1099
330.0,1347
332.0,2296
334.0,7194
336.0,2291
338.0,3261
340.0,6264
342.0,14594
344.0,12562
346.0,18421
348.0,62607
350.0,54385
352.0,24187
354.0,25675
356.0,99655
358.0,115430
360.0,6395
