corrected_route,rows,corrected_route_normalized,is_canonical_route,through_run_parse
9,6997,9,False,
510,2751,510,False,
0,2266,0,False,
506,1304,506,False,
830,1223,830,False,
536,1146,536,False,
501,1086,501,False,
509,1057,509,False,
531,1016,531,False,
507,891,507,False,
999,848,999,False,
542,708,542,False,
523,671,523,False,
525,499,525,False,
517,443,517,False,
602,438,602,False,
813,400,813,False,
1720,329,1720,False,17 + 20
505,324,505,False,
607,272,607,False,
809,262,809,False,
534,249,534,False,
407,248,407,False,
803,220,803,False,
815,204,815,False,
405,197,405,False,
513,191,513,False,
912,190,912,False,
518,189,518,False,
403,187,403,False,
605,185,605,False,
1114,180,1114,False,11 + 14
206,179,206,False,
527,168,527,False,
563,161,563,False,
827,155,827,False,
529,149,529,False,
3215,140,3215,False,32 + 15
219,137,219,False,
541,132,541,False,
209,132,209,False,
530,125,530,False,
804,124,804,False,
415,107,415,False,
2182,105,2182,False,21 + 82
351,98,351,False,
807,97,807,False,
836,85,836,False,
308,84,308,False,
99,83,99,False,
1710,82,1710,False,17 + 10
204,81,204,False,
520,76,520,False,
207,76,207,False,
504,75,504,False,
202,73,202,False,
820,73,820,False,
234,68,234,False,
227,65,227,False,
217,61,217,False,
835,51,835,False,
404,49,404,False,
102,47,102,False,
673736,46,673736,False,67 + 37 + 36
215,45,215,False,
1030,45,1030,False,10 + 30
211,42,211,False,
229,41,229,False,
106,38,106,False,
1411,37,1411,False,14 + 11
237,35,237,False,
516,35,516,False,
603,34,603,False,
528,33,528,False,
811,31,811,False,
508,31,508,False,
3210,30,3210,False,32 + 10
544,27,544,False,
3,27,3,False,
834,21,834,False,
307,20,307,False,
705,18,705,False,
1,17,1,False,
50,16,50,False,
231,15,231,False,
601,11,601,False,
502,11,502,False,
242,11,242,False,
402,10,402,False,
419,10,419,False,
213,9,213,False,
674310,8,674310,False,67 + 43 + 10
4331,8,4331,False,43 + 31
522,8,522,False,
902,8,902,False,
918,7,918,False,
614,7,614,False,
810000,7,810000,False,
205,7,205,False,
824,6,824,False,
176551,6,176551,False,17 + 65 + 51
917,5,917,False,
670,5,670,False,
2,5,2,False,
1721,4,1721,False,17 + 21
616,4,616,False,
512,3,512,False,
1732,3,1732,False,17 + 32
618,3,618,False,
111,3,111,False,
540,3,540,False,
535,3,535,False,
104,3,104,False,
1765,2,1765,False,17 + 65
222,2,222,False,
220,2,220,False,
111111,2,111111,False,11 + 11 + 11
115,2,115,False,
171114,2,171114,False,17 + 11 + 14
1151,2,1151,False,11 + 51
840,2,840,False,
414,2,414,False,
235,2,235,False,
232,1,232,False,
238,1,238,False,
243,1,243,False,
116,1,116,False,
29,1,29,False,
221,1,221,False,
230,1,230,False,
819,1,819,False,
526,1,526,False,
1067,1,1067,False,10 + 67
6,1,6,False,
416,1,416,False,
413,1,413,False,
624,1,624,False,
408,1,408,False,
417,1,417,False,
1752,1,1752,False,17 + 52
144,1,144,False,
515,1,515,False,
