corrected_route,through_run_parse,service_day,bus,rows
1720,17 + 20,2025-03-28,5503,257
1114,11 + 14,2025-05-22,5503,97
1710,17 + 10,2025-02-07,1807,82
2182,21 + 82,2025-05-22,1904,74
3215,32 + 15,2025-12-15,1904,56
3215,32 + 15,2025-05-18,4055,52
673736,67 + 37 + 36,2025-05-19,4055,46
1720,17 + 20,2025-04-04,5503,40
1720,17 + 20,2025-03-21,1114,32
1114,11 + 14,2025-02-06,1113,29
1411,14 + 11,2025-01-26,1114,26
1030,10 + 30,2025-07-17,1901,25
3215,32 + 15,2025-09-17,1114,22
1030,10 + 30,2025-07-16,1906,20
2182,21 + 82,2025-05-07,1113,18
1114,11 + 14,2025-04-10,1112,14
1114,11 + 14,2025-05-07,1116,14
3210,32 + 10,2025-11-14,1807,11
1411,14 + 11,2025-08-24,1803,10
3210,32 + 10,2025-10-17,1116,9
1114,11 + 14,2025-06-09,1114,8
4331,43 + 31,2025-10-23,1803,8
674310,67 + 43 + 10,2025-12-09,1901,8
1114,11 + 14,2025-11-09,1901,7
176551,17 + 65 + 51,2025-12-08,1901,6
1114,11 + 14,2025-04-08,1603,5
3210,32 + 10,2025-10-06,1901,5
1721,17 + 21,2025-08-25,1901,4
2182,21 + 82,2025-04-01,1902,4
2182,21 + 82,2025-04-30,1901,4
3215,32 + 15,2025-09-15,1116,4
1114,11 + 14,2025-04-25,1903,3
111111,11 + 11 + 11,2025-03-15,1603,2
1114,11 + 14,2025-01-24,1901,2
1151,11 + 51,2025-04-27,1604,2
171114,17 + 11 + 14,2025-11-16,1901,2
1732,17 + 32,2025-12-16,1901,2
2182,21 + 82,2025-05-09,1604,2
3210,32 + 10,2025-11-11,1901,2
1067,10 + 67,2025-10-01,1901,1
1114,11 + 14,2025-04-30,1116,1
1411,14 + 11,2025-10-06,1810,1
1732,17 + 32,2025-12-23,1604,1
1752,17 + 52,2025-04-15,1907,1
1765,17 + 65,2025-08-27,1803,1
1765,17 + 65,2025-10-24,1803,1
2182,21 + 82,2025-04-07,1901,1
2182,21 + 82,2025-04-08,1901,1
2182,21 + 82,2025-04-14,1901,1
3210,32 + 10,2025-09-16,1116,1
3210,32 + 10,2025-09-25,1810,1
3210,32 + 10,2025-11-17,1116,1
3215,32 + 15,2025-03-16,1112,1
3215,32 + 15,2025-03-30,1108,1
3215,32 + 15,2025-05-15,1112,1
3215,32 + 15,2025-05-16,1601,1
3215,32 + 15,2025-06-21,2102,1
3215,32 + 15,2025-08-29,1901,1
