dropfile_parameter_clean,text,description,media_text,is_cornell,rows
STUDENT OMNI NEW,Special card,Cornell Card,Cornell,True,858973
STUDENT OMNIRIDE,Special card,Cornell Card,Cornell,True,399765
FACULTY/STAFF,Special card,Cornell Card,Cornell,True,244494
EXCEPTION,Special card,Cornell Card,Cornell,True,114239
POST GRADUATE,Special card,Cornell Card,Cornell,True,77911
TEMP STAFF,Special card,Cornell Card,Cornell,True,42532
AFFILIATE,Special card,Cornell Card,Cornell,True,7656
RETIREE 25,Special card,Cornell Card,Cornell,True,3923
RETIREE,Special card,Cornell Card,Cornell,True,3167
STUDENT OMNI PERMIT,Special card,Cornell Card,Cornell,True,1809
EMERITUS,Special card,Cornell Card,Cornell,True,1439
RTE EMERITUS,Special card,Cornell Card,Cornell,True,173
